business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,types,user_ratings_total,photos
OPERATIONAL,"5 Nisan Nükhet Coşkun Cad. Aydın Bey Apt, D:100/A, 21080 Diyarbakır Merkez/Diyarbakır, Türkiye","{'location': {'lat': 37.91827809999999, 'lng': 40.2086234}, 'viewport': {'northeast': {'lat': 37.91961152989272, 'lng': 40.20997327989272}, 'southwest': {'lat': 37.91691187010728, 'lng': 40.20727362010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Ibni Sina Pharmacy,{'open_now': False},ChIJteFZ2YYfdUAR52jN-Swehz0,"{'compound_code': 'W695+8C Bağlar, Diyarbakır', 'global_code': '8H92W695+8C'}",4.5,ChIJteFZ2YYfdUAR52jN-Swehz0,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",15,"[{'height': 489, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115441886515750417214"">Abdulaziz Haşimi</a>'], 'photo_reference': 'AfLeUgNt6bZoDV8xl3Ni_xVsgO4yduwL9i6lnMngik8yjfoVpB5NsOKF9MQKNIkDCznMRUO4h06X2K0MYQu3tooBljcDC6km7vSR2HnVoIjxANcDmKitH7woepNzG4FQIuy54MSyxZt3gkvgZ6QHILu09mrnsYFJhogXDruS4BPqife1oU8x', 'width': 652}]"
OPERATIONAL,"Yenişehir Mah, Elazığ Cd. No:2/9, 21010 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9172251, 'lng': 40.2360463}, 'viewport': {'northeast': {'lat': 37.91836482989272, 'lng': 40.23720182989273}, 'southwest': {'lat': 37.91566517010728, 'lng': 40.23450217010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Surkent Pharmacy,,ChIJN8zDgcwhdUARJMKAuEO5qXQ,"{'compound_code': 'W68P+VC Yenişehir, Diyarbakır', 'global_code': '8H92W68P+VC'}",3.0,ChIJN8zDgcwhdUARJMKAuEO5qXQ,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",2,
OPERATIONAL,"Huzurevleri, Diclekent Blv. No:4 D:C BLOK, 21070 Kayapınar/Diyarbakır, Türkiye","{'location': {'lat': 37.9344143, 'lng': 40.1955633}, 'viewport': {'northeast': {'lat': 37.93564392989273, 'lng': 40.19673477989272}, 'southwest': {'lat': 37.93294427010728, 'lng': 40.19403512010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Ozgur Pharmacy,,ChIJubkj1rgfdUARwHjyjOm9PlM,"{'compound_code': 'W5MW+Q6 Kayapınar, Diyarbakır', 'global_code': '8H92W5MW+Q6'}",5.0,ChIJubkj1rgfdUARwHjyjOm9PlM,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",1,
OPERATIONAL,"Kooperatifler, Gevran Cd. No:35, 21100 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9233206, 'lng': 40.2196054}, 'viewport': {'northeast': {'lat': 37.92467267989272, 'lng': 40.22094142989272}, 'southwest': {'lat': 37.92197302010728, 'lng': 40.21824177010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Sevim Pharmacy,{'open_now': False},ChIJVVVVVYofdUARthiDLKgnji0,"{'compound_code': 'W6F9+8R Yenişehir, Diyarbakır', 'global_code': '8H92W6F9+8R'}",4.4,ChIJVVVVVYofdUARthiDLKgnji0,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",9,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110562436580637443824"">A Google User</a>'], 'photo_reference': 'AfLeUgOQUld-WF9OBiD4BQIqofYn2J4cWEUK89iHq5pioV7KDWpm9p5VY7yBCaSMyCd5i-9oe0uVNzM1tE5wRVVIFUZfdpMHMBUHp7kMJ80h5d0yxIlGUCDsOf8Y-mJl1hasMJFAvD8ua1Fj7lCJQzMaH5o7g1HoVaFiF-seQ_oVi3EAAx1L', 'width': 3024}]"
OPERATIONAL,"Huzurevleri Mahallesi 12 sokak ağma Apt. Altı no 24, 21070 Diyarbakır Merkez/Diyarbakır, Türkiye","{'location': {'lat': 37.9351535, 'lng': 40.1986193}, 'viewport': {'northeast': {'lat': 37.93655927989273, 'lng': 40.19994592989273}, 'southwest': {'lat': 37.93385962010728, 'lng': 40.19724627010729}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Irfan Pharmacy,{'open_now': False},ChIJC_6CuLgfdUARPd9cgY-07wg,"{'compound_code': 'W5PX+3C Kayapınar, Diyarbakır', 'global_code': '8H92W5PX+3C'}",5.0,ChIJC_6CuLgfdUARPd9cgY-07wg,"['drugstore', 'pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",2,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117724320404798059791"">necdet karadaş</a>'], 'photo_reference': 'AfLeUgM7XPMIDGiANbmNPJDt6R29YteOV_TCqkueXdl-v0-rvMOBfiHgDUvFcLZ9sGYXitQlBVuuaG7794vO4LfH9ostN_QfcJ6wTByp4wD-ip1-HIObiIIkB2PaeVrtuu_zwWEiUCpv-DnrI2RCN5-Lf5zNY7UhRqIR5sp8QvjzHXV7icD8', 'width': 4128}]"
OPERATIONAL,"Kooperatifler, Ekinciler Cad. Devran Apt. 19/F, 21100 Diyarbakır Merkez/Diyarbakır, Türkiye","{'location': {'lat': 37.9191879, 'lng': 40.219837}, 'viewport': {'northeast': {'lat': 37.92051297989272, 'lng': 40.22115367989272}, 'southwest': {'lat': 37.91781332010727, 'lng': 40.21845402010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Cihan Pharmacy,,ChIJT8zcdCcgdUARlElEaMLuxhM,"{'compound_code': 'W699+MW Yenişehir, Diyarbakır', 'global_code': '8H92W699+MW'}",4.0,ChIJT8zcdCcgdUARlElEaMLuxhM,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",4,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110138633989911219302"">Abdulhamit Celik</a>'], 'photo_reference': 'AfLeUgNxUAy4juai188dNJAqpow2JzOzd-e-KGcPkEfqnwQ6yNGEgHHWI8c9FUOp5_HI0gDUPbQzME2dnVuCtiBFhaAqg48r2Mdiqj5joj-H_AVmp-3Cu6kg1VJ9Kocb7BeQE2pQTKgUahE4JIP8gBt9Lwt86YRIbgjrD5PKTPZDyXCL8pVS', 'width': 3024}]"
OPERATIONAL,"Yenişehir, Elazığ Cd. No:2, 21100 Yenişehir/Diyarbakır, Türkiye","{'location': {'lat': 37.9170153, 'lng': 40.2371829}, 'viewport': {'northeast': {'lat': 37.91831327989273, 'lng': 40.23852567989272}, 'southwest': {'lat': 37.91561362010729, 'lng': 40.23582602010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Doz Eczanesi,,ChIJq2ennT4gdUARomGLN8NS_1Q,"{'compound_code': 'W68P+RV Yenişehir, Diyarbakır', 'global_code': '8H92W68P+RV'}",0.0,ChIJq2ennT4gdUARomGLN8NS_1Q,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",0,
OPERATIONAL,"Cami Kebir, Gazi Cad. No:138, 21300 Diyarbakır Merkez/Diyarbakır, Türkiye","{'location': {'lat': 37.911669, 'lng': 40.236792}, 'viewport': {'northeast': {'lat': 37.91302047989272, 'lng': 40.23809897989273}, 'southwest': {'lat': 37.91032082010727, 'lng': 40.23539932010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Sark Pharmacy,{'open_now': False},ChIJ8TeEYDggdUARgh2IS54IWBc,"{'compound_code': 'W66P+MP Sur, Diyarbakır', 'global_code': '8H92W66P+MP'}",5.0,ChIJ8TeEYDggdUARgh2IS54IWBc,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",3,
OPERATIONAL,"2. Sokak No:3, Diyarbakır, Türkiye","{'location': {'lat': 37.9339469, 'lng': 40.2119258}, 'viewport': {'northeast': {'lat': 37.93529687989272, 'lng': 40.21327582989272}, 'southwest': {'lat': 37.93259722010728, 'lng': 40.21057617010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Özdemir Eczanesi,,ChIJCzRMVskfdUARc-pzJCNMdJQ,"{'compound_code': 'W6M6+HQ Yenişehir, Diyarbakır', 'global_code': '8H92W6M6+HQ'}",0.0,ChIJCzRMVskfdUARc-pzJCNMdJQ,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",0,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107816197020794403834"">A Google User</a>'], 'photo_reference': 'AfLeUgPolW-3yYQ-mZgF9dQkF0I_3Qi86zrhkNVLmA5OxnRkbl8MnO0dOPuL--N-fmusZTMejSBGLiif9uCpgN5pojKN7Xoxb4LgEDjc_gQ_Q-EPANrthuhFcC7dplZt7FMxmgb1OKai5rkQmbuFhxNLvy4PEVfWBQ_OiAXrX-aupOev4MvF', 'width': 4032}]"
OPERATIONAL,"5 Nisan, 913. Sk., 21080 Bağlar/Diyarbakır, Türkiye","{'location': {'lat': 37.9174711, 'lng': 40.202675}, 'viewport': {'northeast': {'lat': 37.91891907989272, 'lng': 40.20400237989273}, 'southwest': {'lat': 37.91621942010728, 'lng': 40.20130272010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Evindar Eczanesi,,ChIJjW3HiIEfdUARRUXY5ZqsJw0,"{'compound_code': 'W683+X3 Bağlar, Diyarbakır', 'global_code': '8H92W683+X3'}",0.0,ChIJjW3HiIEfdUARRUXY5ZqsJw0,"['pharmacy', 'store', 'point_of_interest', 'health', 'establishment']",0,
